nombre,tipo,precio,barrio,lat,long
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
Nada es imposible: Broadway Edition,evento,medio,No encontrado,,
MAMMA MIA! El Musical,evento,medio,Palacio,40.421301,-3.7072389
MAMMA MIA! El Musical,evento,medio,Palacio,40.421301,-3.7072389
MAMMA MIA! El Musical,evento,,Palacio,40.421301,-3.7072389
MAMMA MIA! El Musical,evento,medio,Palacio,40.421301,-3.7072389
MAMMA MIA! El Musical,evento,,Palacio,40.421301,-3.7072389
MAMMA MIA! El Musical,evento,medio,Palacio,40.421301,-3.7072389
Mamma Mía! El Musical,evento,,Palacio,40.421301,-3.7072389
Mamma Mía! El Musical,evento,medio,Palacio,40.421301,-3.7072389
Mamma Mía! El Musical,evento,,Palacio,40.421301,-3.7072389
Mamma Mía! El Musical,evento,medio,Palacio,40.421301,-3.7072389
